"","Vaccine.Exemption","Dose","Geography.Type","Geography","School.Year","Estimate....","Population.Size","Percent.Surveyed","Footnotes","Number.of.Exemptions","Survey.Type"
"4814","Hepatitis B","","States","New Jersey","2025-26","92.5","101602","92.3",">=. �","NULL","Census"
"4815","Hepatitis B","","States","Washington","2025-26","92.5","75631","99.1","�","NULL","Census"
"4816","Hepatitis B","","States","Nevada","2025-26","92.4","32815","93.6","NULL","NULL","Census (pub.), vol. response (prv.)"
"4817","Hepatitis B","","States","Oklahoma","2025-26","92.3","47844","90.7","NULL","NULL","Census (pub.), vol. response (prv.)"
"4818","Hepatitis B","","States","Wisconsin","2025-26","92.2","59360","96.6","�. �","NULL","Census (pub.), vol. response (prv.)"
"4819","Exemption","Any Exemption","States","New Mexico","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4820","Exemption","Any Exemption","States","New Jersey","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4821","Exemption","Any Exemption","States","New Hampshire","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4822","Exemption","Any Exemption","States","Nevada","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4823","Exemption","Any Exemption","States","Nebraska","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4824","Exemption","Any Exemption","States","Montana","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4825","Exemption","Any Exemption","States","Missouri","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4826","Exemption","Any Exemption","States","Mississippi","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4827","Exemption","Any Exemption","States","Indiana","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4828","Exemption","Any Exemption","States","Iowa","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4829","Hepatitis B","","States","Colorado","2025-26","91.1","60049","100","*. �","NULL","Census"
"4830","Hepatitis B","","States","Hawaii","2025-26","90.3","13791","11.7","NULL","NULL","Stratified 2-stage cluster sample"
"4831","Hepatitis B","","States","Utah","2025-26","89.2","44001","100","*","NULL","Census"
"4832","Hepatitis B","","States","Georgia","2025-26","89.1","118864","100",">=. *","NULL","Census"
"4833","Hepatitis B","","States","Iowa","2025-26","88.9","37490","100",">=. *","NULL","Census"
"4834","Hepatitis B","","States","Florida","2025-26","88.9","213535","100",">=. *","NULL","Census"
"4835","Exemption","Any Exemption","States","District of Columbia","2009-10","1.1","6092","NULL","NULL","66","Census"
"4836","Exemption","Any Exemption","States","Georgia","2009-10","1.1","141949","NULL","†","1565","Random sample"
"4837","Exemption","Any Exemption","States","Indiana","2009-10","1.1","84390","NULL","†","909","Census"
"4838","Exemption","Any Exemption","States","South Dakota","2009-10","1.1","11499","NULL","†","121","Census"
"4839","Exemption","Any Exemption","States","Massachusetts","2009-10","1.1","74476","NULL","†","836","Census"
"4840","Exemption","Any Exemption","States","West Virginia","2009-10","1.3","22730","NULL","‡. †","303","Voluntary response"
"4841","Exemption","Any Exemption","States","Florida","2009-10","1.3","218630","NULL","†","2797","Census"
"4842","Exemption","Any Exemption","States","Ohio","2009-10","1.4","131137","NULL","||","1799","Census"
"4843","Exemption","Any Exemption","States","Iowa","2009-10","1.4","42698","NULL","†","577","Census"
"4844","Exemption","Any Exemption","States","Ohio","2011-12","1.5","146144","NULL","||","1857","Convenient"
"4845","Exemption","Any Exemption","States","Texas","2011-12","1.5","388178","NULL","§","5947","Census"
"4846","Exemption","Any Exemption","States","Minnesota","2011-12","1.6","71213","NULL","§","1145","Census"
"4847","Exemption","Any Exemption","States","Pennsylvania","2011-12","1.8","148042","NULL","||","2681","Census"
"4848","Exemption","Any Exemption","States","Nevada","2011-12","1.8","36557","NULL","†","42","2-stage Cluster Sample"
"4849","Exemption","Any Exemption","States","New Mexico","2011-12","2","29159","NULL","†","12","2-stage Cluster Sample"
"4850","Exemption","Any Exemption","States","District of Columbia","2011-12","2.1","6854","NULL","NULL","144","Census"
"4851","Exemption","Any Exemption","States","New Hampshire","2011-12","2.2","13022","NULL","†","285","Census"
"4852","Exemption","Any Exemption","States","Missouri","2011-12","2.4","75240","NULL","§","90","2-stage Cluster Sample"
"4853","Exemption","Any Exemption","States","California","2011-12","2.6","542544","NULL","‡","13536","Census"
"4854","Exemption","Any Exemption","States","Montana","2011-12","3","12128","NULL","†","364","Census"
"4855","Exemption","Any Exemption","States","Arizona","2011-12","3.7","88293","NULL","‡","3187","Census"
"4856","Exemption","Any Exemption","States","Utah","2011-12","3.8","53800","NULL","NULL","2032","Census"
"4857","Exemption","Any Exemption","States","Hawaii","2011-12","3.9","19443","NULL","†","60","2-stage Cluster Sample"
"4858","Exemption","Any Exemption","States","Maine","2011-12","3.9","13829","NULL","NULL","517","Census"
"4859","Exemption","Any Exemption","States","Wisconsin","2011-12","4.5","70672","NULL","NULL","76","2-stage Cluster Sample"
"4860","Exemption","Any Exemption","States","Washington","2011-12","4.7","85134","NULL","NULL","3472","Voluntary Response"
"4861","Exemption","Any Exemption","States","Idaho","2011-12","5.4","22762","NULL","NULL","1226","Census"
"4862","Polio","","States","Arkansas","2009-10","98","34733","100","*","NULL","Census"
"4863","Polio","","States","Utah","2009-10","97.9","49957","100","*","NULL","Census"
"4864","Polio","","States","Kansas","2009-10","97.9","39073","39.1","†","NULL","Stratified 1-stage sample  (Public);  Census (Private)"
"4865","Polio","","States","South Dakota","2009-10","97.8","11499","100","*","NULL","Census"
"4866","Polio","","States","Oklahoma","2009-10","97.6","51128","88.9","NULL","NULL","Voluntary response"
"4867","Polio","","States","Tennessee","2009-10","97.4","90811","88.1","≥","NULL","Voluntary response"
"4868","Polio","","States","Montana","2009-10","96.9","12335","98.8","NULL","NULL","Census"
"4869","Hepatitis B","","States","Alaska","2024-25","84.1","7338","99.8","¶","NULL","Census (pub.), not conducted (prv.)"
"4870","Hepatitis B","","States","Idaho","2024-25","84","22242","99.5","NULL","NULL","Census"
"4871","Hepatitis B","","States","South Dakota","2024-25","NReq","11367","99.3","§","NULL","Census"
"4872","Hepatitis B","","States","Maine","2024-25","NReq","11761","95.4","NULL","NULL","Census"
"4873","Hepatitis B","","States","Illinois","2024-25","NReq","132769","99.5","NULL","NULL","Census"
"4874","Hepatitis B","","States","Alabama","2024-25","NReq","53589","99.9","NULL","NULL","Census"
"4875","Hepatitis B","","States","South Carolina","2025-26","93.7","57542","26.2","�","NULL","Stratified 1-stage cluster sample"
"4876","Hepatitis B","","States","Arkansas","2025-26","94","35543","96.7","NULL","NULL","Census (pub.), vol. response (prv.)"
"4877","Hepatitis B","","States","Pennsylvania","2025-26","94.4","134313","95.7","NULL","NULL","Census (pub.), vol. response (prv.)"
"4878","Hepatitis B","","States","TX-City of Houston","2025-26","94.4","36071","94.6","�. �","NULL","Census (pub.), vol. response (prv.)"
"4879","Hepatitis B","","States","Texas","2025-26","94.6","358586","98.3","�. �","NULL","Census (pub.), vol. response (prv.)"
"4880","Hepatitis B","","States","Virginia","2025-26","94.7","88950","95.7","NULL","NULL","Census"
"4881","Hepatitis B","","States","North Carolina","2025-26","94.8","120045","90.1","�","NULL","Census (pub.), vol. response (prv.)"
"4882","Hepatitis B","","States","Vermont","2025-26","94.9","5298","100","*","NULL","Census"
"4883","Hepatitis B","","States","Nebraska","2025-26","95","23807","100","*. �","NULL","Census"
"4884","Hepatitis B","","States","Tennessee","2025-26","95.6","73415","97.4","�","NULL","Census"
"4885","Polio","","States","Washington","2009-10","91.8","81511","93.3","NULL","NULL","Census"
"4886","Polio","","States","Vermont","2009-10","92.1","6713","100","*","NULL","Census"
"4887","Polio","","States","North Dakota","2009-10","92.2","8323","6","¶","NULL","Random sample"
"4888","Polio","","States","Idaho","2009-10","92.8","22624","100","*","NULL","Census"
"4889","Polio","","States","Indiana","2009-10","92.9","84390","94.7","NULL","NULL","Census"
"4890","Polio","","States","Massachusetts","2009-10","92.9","74476","100","*","NULL","Census"
"4891","Polio","","States","California","2009-10","93.6","507191","100","*","NULL","Census"
"4892","Polio","","States","Alabama","2009-10","94","75358","100","≥. *. **","NULL","Census"
"4893","Exemption","Any Exemption","States","Virginia","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4894","Exemption","Any Exemption","States","Vermont","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4895","Exemption","Any Exemption","States","Utah","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4896","Exemption","Any Exemption","States","Texas","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4897","Exemption","Any Exemption","States","Tennessee","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4898","Exemption","Any Exemption","States","South Dakota","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4899","Exemption","Any Exemption","States","South Carolina","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4900","Exemption","Any Exemption","States","Rhode Island","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4901","Exemption","Any Exemption","States","Pennsylvania","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4902","Exemption","Any Exemption","States","Oregon","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4903","Exemption","Any Exemption","States","Oklahoma","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4904","Exemption","Any Exemption","States","Ohio","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4905","Exemption","Any Exemption","States","North Dakota","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4906","Exemption","Any Exemption","States","North Carolina","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4907","Exemption","Any Exemption","States","New York","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4908","Exemption","Any Exemption","States","North Dakota","2012-13","1.8","9503","NULL","NULL","130","2-stage Cluster Sample"
"4909","Exemption","Any Exemption","States","Florida","2012-13","1.8","234628","NULL","†","4186","Census"
"4910","Exemption","Any Exemption","States","Missouri","2012-13","1.8","78416","NULL","§","2042","2-stage Cluster Sample"
"4911","Exemption","Any Exemption","States","South Dakota","2012-13","1.8","12468","NULL","†","223","Census"
"4912","Exemption","Any Exemption","States","Ohio","2012-13","2","163687","NULL","||","3315","Census"
"4913","Exemption","Any Exemption","States","Kansas","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4914","Exemption","Any Exemption","States","Kentucky","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4915","Exemption","Any Exemption","States","Louisiana","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4916","Exemption","Any Exemption","States","Maine","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4917","Exemption","Any Exemption","States","Maryland","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4918","Exemption","Any Exemption","States","Massachusetts","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4919","Exemption","Any Exemption","States","Michigan","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4920","Exemption","Any Exemption","States","Minnesota","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4921","Exemption","Any Exemption","States","Alabama","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4922","Exemption","Any Exemption","States","Alaska","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4923","Exemption","Any Exemption","States","Arizona","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4924","Exemption","Any Exemption","States","Arkansas","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4925","Exemption","Any Exemption","States","California","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4926","Exemption","Any Exemption","States","Colorado","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4927","Exemption","Any Exemption","States","Connecticut","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4928","Exemption","Any Exemption","States","Delaware","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4929","Exemption","Any Exemption","States","District of Columbia","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4930","Exemption","Any Exemption","States","Florida","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4931","Exemption","Any Exemption","States","Georgia","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4932","Exemption","Any Exemption","States","Hawaii","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4933","Exemption","Any Exemption","States","Idaho","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4934","Exemption","Any Exemption","States","Illinois","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4935","Exemption","Any Exemption","States","Wyoming","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4936","Exemption","Any Exemption","States","Wisconsin","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4937","Exemption","Any Exemption","States","West Virginia","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4938","Exemption","Any Exemption","States","Iowa","2011-12","1.5","40978","NULL","†","607","Census"
"4939","Exemption","Any Exemption","States","Florida","2011-12","1.5","225532","NULL","†","3495","Census"
"4940","Hepatitis B","","States","Illinois","2025-26","NReq","128598","99.8","NULL","NULL","Census"
"4941","Hepatitis B","","States","Kansas","2025-26",NA,"NULL","NULL","NULL","NULL","Stratified 2-stage cluster sample"
"4942","Hepatitis B","","States","Maine","2025-26","NReq","11634","94.4","NULL","NULL","Census"
"4943","Hepatitis B","","States","Alabama","2025-26","NReq","53378","100","*","NULL","Census"
"4944","Hepatitis B","","States","South Dakota","2025-26","NReq","11009","100","*. �","NULL","Census"
"4945","Hepatitis B","","States","Indiana","2025-26","92.6","70886","87.1","�","NULL","Vol. response"
"4946","Hepatitis B","","States","Wyoming","2025-26","93","6146","100","*","NULL","Census"
"4947","Polio","","States","Mississippi","2009-10","99.7","46922","100","≥. *","NULL","Census"
"4948","Polio","","States","New Mexico","2009-10","99.3","26318","2.2","NULL","NULL","Random sample"
"4949","Polio","","States","Virginia","2009-10","99.1","100891","4.4","NULL","NULL","Random sample"
"4950","Polio","","States","Louisiana","2009-10","98.9","53846","100","*","NULL","Census"
"4951","Polio","","States","Nevada","2009-10","98.7","35209","5.6","NULL","NULL","Random sample"
"4952","Polio","","States","Nebraska","2009-10","98.7","29607","96.4","NULL","NULL","Census"
"4953","Polio","","States","New York","2009-10","98.4","229273","100","*","NULL","Census"
"4954","Polio","","States","Connecticut","2009-10","98.3","46158","100","*","NULL","Census"
"4955","Polio","","States","Wisconsin","2009-10","98.2","61095","2.3","¶","NULL","Random sample"
"4956","Polio","","States","Texas","2009-10","98.1","381425","98.3","NULL","NULL","Census"
"4957","Polio","","States","Missouri","2009-10","98.1","75958","3","NULL","NULL","Random sample"
"4958","Polio","","States","Rhode Island","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4959","Polio","","States","South Carolina","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4960","Polio","","States","South Dakota","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4961","Polio","","States","Tennessee","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4962","Polio","","States","Texas","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4963","Polio","","States","Utah","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4964","Polio","","States","Vermont","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4965","Polio","","States","Virginia","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"4966","Polio","","States","Michigan","2009-10","96.6","129810","100","*","NULL","Census"
"4967","Polio","","States","Illinois","2009-10","95.8","165845","100","NULL","NULL","Census"
"4968","Polio","","States","Arizona","2009-10","95.5","89287","93.9","NULL","NULL","Census"
"4969","Polio","","States","Maine","2009-10","95.4","14162","75.3","NULL","NULL","Voluntary response"
"4970","Polio","","States","West Virginia","2009-10","91.5","22730","86.7","NULL","NULL","Voluntary response"
"4971","Polio","","States","Florida","2009-10","91.3","218630","100","≥. * .§","NULL","Census"
