"","Vaccine.Exemption","Dose","Geography.Type","Geography","School.Year","Estimate....","Population.Size","Percent.Surveyed","Footnotes","Number.of.Exemptions","Survey.Type"
"1","MMR (PAC)","MMR (PAC)","States","Kansas","2025-26",NA,"NULL","NULL","NULL","NULL","Stratified 2-stage cluster sample"
"2","Varicella","1 Dose (or disease history)","States","Arizona","2024-25","93.4","75024","97.4","NULL","NULL","Census"
"3","MMR (PAC)","MMR (PAC)","States","Texas","2025-26","95.2","358586","98.3","NULL","NULL","Census (pub.), vol. response (prv.)"
"4","MMR (PAC)","MMR (PAC)","States","New Jersey","2025-26","94.3","101602","92.3","NULL","NULL","Census"
"5","MMR (PAC)","MMR (PAC)","States","Tennessee","2025-26","95.2","73415","97.4","NULL","NULL","Census"
"6","Varicella","1 Dose (or disease history)","States","Florida","2024-25","NReq","221053","100",">=. *","NULL","Census"
"7","Varicella","1 Dose (or disease history)","States","Georgia","2024-25","NReq","114568","100",">=. *","NULL","Census"
"8","Varicella","1 Dose (or disease history)","States","Hawaii","2024-25","NReq","13804","10.5","NULL","NULL","Stratified 2-stage cluster sample"
"9","Varicella","1 Dose (or disease history)","States","Idaho","2024-25","NReq","22242","99.5","NULL","NULL","Census"
"10","Varicella","1 Dose (or disease history)","States","Illinois","2024-25","NReq","132769","99.5","NULL","NULL","Census"
"11","Varicella","1 Dose (or disease history)","States","Alabama","2024-25","98","53589","99.9","NULL","NULL","Census"
"12","MMR (PAC)","MMR (PAC)","States","Arizona","2025-26","90.4","73907","92.5","NULL","NULL","Census (pub.), vol. response (prv.)"
"13","Varicella","1 Dose (or disease history)","States","Oklahoma","2024-25","94","47544","86.7","‡","NULL","Vol. response"
"14","Varicella","1 Dose (or disease history)","States","District of Columbia","2025-26","NReq","7871","100","NULL","NULL","Census"
"15","Varicella","1 Dose (or disease history)","States","Iowa","2025-26","NReq","37490","100","NULL","NULL","Census"
"16","Varicella","1 Dose (or disease history)","States","North Dakota","2025-26","NReq","9344","98.6","NULL","NULL","Census"
"17","Varicella","1 Dose (or disease history)","States","Indiana","2025-26","NReq","70886","87.1","NULL","NULL","Vol. response"
"18","Varicella","1 Dose (or disease history)","States","Maryland","2025-26","NReq","66945","97.8","NULL","NULL","Census (pub.), vol. response (prv.)"
"19","Varicella","1 Dose (or disease history)","States","North Carolina","2025-26","NReq","120045","90.1","NULL","NULL","Census (pub.), vol. response (prv.)"
"20","Varicella","1 Dose (or disease history)","States","NY-City of New York","2025-26","NReq","82534","98.1","NULL","NULL","Census"
"21","Varicella","1 Dose (or disease history)","States","Massachusetts","2025-26","NReq","65331","100","NULL","NULL","Census"
"22","Varicella","1 Dose (or disease history)","States","Illinois","2025-26","NReq","128598","99.8","NULL","NULL","Census"
"23","Varicella","1 Dose (or disease history)","States","Michigan","2025-26","NReq","104614","100","NULL","NULL","Census"
"24","Varicella","1 Dose (or disease history)","States","Idaho","2025-26","NReq","21728","100","NULL","NULL","Census"
"25","Varicella","1 Dose (or disease history)","States","Wisconsin","2025-26","NReq","59360","96.6","NULL","NULL","Census (pub.), vol. response (prv.)"
"26","Varicella","1 Dose (or disease history)","States","West Virginia","2025-26","NReq","15445","93.3","NULL","NULL","Census"
"27","Varicella","1 Dose (or disease history)","States","Wyoming","2024-25","93.4","6564","100","*","NULL","Census"
"28","Varicella","1 Dose (or disease history)","States","Oregon","2024-25","93.3","38247","100","*. ‡","NULL","Census"
"29","Varicella","1 Dose (or disease history)","States","New Jersey","2024-25","92.8","104339","100",">=. *","NULL","Census"
"30","Varicella","1 Dose (or disease history)","States","Delaware","2024-25","NReq","10393","14.2","‡","NULL","2-stage cluster sample (pub.), nonrandom 2-stage cluster sample (prv.)"
"31","Varicella","1 Dose (or disease history)","States","Kansas","2025-26","NReq","NULL","NULL","NULL","NULL","Stratified 2-stage cluster sample"
"32","Varicella","1 Dose (or disease history)","States","Nebraska","2025-26","NReq","23807","100","NULL","NULL","Census"
"33","Varicella","1 Dose (or disease history)","States","Kentucky","2025-26","NReq","49937","100","NULL","NULL","Census"
"34","Varicella","1 Dose (or disease history)","States","Arkansas","2024-25","NReq","37570","96.4","NULL","NULL","Census (pub.), vol. response (prv.)"
"35","Varicella","1 Dose (or disease history)","States","District of Columbia","2024-25","NReq","7997","100","*","NULL","Census"
"36","Varicella","1 Dose (or disease history)","States","Rhode Island","2025-26","NReq","10123","97.1","NULL","NULL","Census"
"37","Varicella","1 Dose (or disease history)","States","Pennsylvania","2025-26","NReq","134313","95.7","NULL","NULL","Census (pub.), vol. response (prv.)"
"38","Varicella","1 Dose (or disease history)","States","Delaware","2025-26","NReq","10729","12.9","NULL","NULL","2-stage cluster sample (pub.), nonrandom 2-stage cluster sample (prv.)"
"39","Varicella","1 Dose (or disease history)","States","Hawaii","2025-26","NReq","13791","11.7","NULL","NULL","Stratified 2-stage cluster sample"
"40","Varicella","1 Dose (or disease history)","States","South Dakota","2025-26","NReq","11009","100","NULL","NULL","Census"
"41","Varicella","1 Dose (or disease history)","States","Tennessee","2025-26","NReq","73415","97.4","NULL","NULL","Census"
"42","Varicella","1 Dose (or disease history)","States","Texas","2025-26","NReq","358586","98.3","NULL","NULL","Census (pub.), vol. response (prv.)"
"43","Varicella","1 Dose (or disease history)","States","TX-City of Houston","2025-26","NReq","36071","94.6","NULL","NULL","Census (pub.), vol. response (prv.)"
"44","Varicella","1 Dose (or disease history)","States","Colorado","2025-26","NReq","60049","100","NULL","NULL","Census"
"45","Varicella","2 Doses (or disease history)","States","Arkansas","2009-10","NReq","34733","100","*","NULL","Census"
"46","Varicella","2 Doses (or disease history)","States","Arizona","2009-10","NReq","89287","93.9","NULL","NULL","Census"
"47","Varicella","2 Doses (or disease history)","States","Alabama","2009-10","NReq","75358","100","*. **","NULL","Census"
"48","Varicella","2 Doses (or disease history)","States","Alaska","2009-10",NA,"9641","76.4","NULL","NULL","Voluntary response"
"49","Varicella","2 Doses (or disease history)","States","Iowa","2009-10","84.5","42698","100","≥","NULL","Census"
"50","Varicella","2 Doses (or disease history)","States","Kansas","2009-10","85.3","39073","39.1","†","NULL","Stratified 1-stage sample  (Public);  Census (Private)"
"51","Varicella","2 Doses (or disease history)","States","Rhode Island","2009-10","86.9","11818","11.6","NULL","NULL","Random sample"
"52","Varicella","2 Doses (or disease history)","States","Vermont","2009-10","88.2","6713","100","*","NULL","Census"
"53","Varicella","2 Doses (or disease history)","States","West Virginia","2009-10","88.4","22730","86.7","NULL","NULL","Voluntary response"
"54","Varicella","2 Doses (or disease history)","States","Washington","2009-10","88.6","81511","93.3","NULL","NULL","Census"
"55","Varicella","2 Doses (or disease history)","States","Delaware","2009-10","89","11327","9.2","NULL","NULL","Random sample"
"56","Varicella","2 Doses (or disease history)","States","North Dakota","2009-10","89.6","8323","6","¶","NULL","Random sample"
"57","Varicella","2 Doses (or disease history)","States","Wisconsin","2009-10","90.3","61095","2.3","¶","NULL","Random sample"
"58","Varicella","2 Doses (or disease history)","States","Florida","2009-10","91.3","218630","100","≥. * .§","NULL","Census"
"59","Varicella","2 Doses (or disease history)","States","Louisiana","2009-10","93.7","53846","100","*","NULL","Census"
"60","Varicella","2 Doses (or disease history)","States","Minnesota","2009-10","94","70653","100","*","NULL","Census"
"61","Varicella","2 Doses (or disease history)","States","New Mexico","2009-10","94.9","26318","2.2","NULL","NULL","Random sample"
"62","Varicella","2 Doses (or disease history)","States","Texas","2009-10","96.8","381425","98.3","NULL","NULL","Census"
"63","Varicella","1 Dose (or disease history)","States","Indiana","2024-25","NReq","73744","92.7","§","NULL","Census (pub.), vol. response (prv.)"
"64","Varicella","1 Dose (or disease history)","States","Iowa","2024-25","NReq","38268","100",">=. *","NULL","Census"
"65","Varicella","1 Dose (or disease history)","States","Oregon","2025-26","92.9","37309","100","NULL","NULL","Census"
"66","Varicella","1 Dose (or disease history)","States","Oklahoma","2025-26","92.9","47844","90.7","NULL","NULL","Census (pub.), vol. response (prv.)"
"67","Varicella","1 Dose (or disease history)","States","Wyoming","2025-26","92.6","6146","100","NULL","NULL","Census"
"68","Varicella","2 Doses (or disease history)","States","Oregon","2009-10","NReq","44676","100","*","NULL","Census"
"69","Varicella","2 Doses (or disease history)","States","Pennsylvania","2009-10","NReq","149656","100","*","NULL","Census"
"70","Varicella","1 Dose (or disease history)","States","New Jersey","2025-26","92.5","101602","92.3","NULL","NULL","Census"
"71","Varicella","1 Dose (or disease history)","States","Arizona","2025-26","92.3","73907","92.5","NULL","NULL","Census (pub.), vol. response (prv.)"
"72","Varicella","1 Dose (or disease history)","States","Georgia","2025-26","NReq","118864","100","NULL","NULL","Census"
"73","Varicella","1 Dose (or disease history)","States","Florida","2025-26","NReq","213535","100","NULL","NULL","Census"
"74","Varicella","2 Doses (or disease history)","States","California","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"75","Varicella","2 Doses (or disease history)","States","Colorado","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"76","Varicella","2 Doses (or disease history)","States","Connecticut","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"77","Varicella","2 Doses (or disease history)","States","Delaware","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"78","Varicella","2 Doses (or disease history)","States","District of Columbia","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"79","Varicella","2 Doses (or disease history)","States","Florida","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"80","Varicella","2 Doses (or disease history)","States","Georgia","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"81","Varicella","2 Doses (or disease history)","States","Hawaii","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"82","Varicella","2 Doses (or disease history)","States","Idaho","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"83","Varicella","2 Doses (or disease history)","States","Illinois","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"84","Varicella","2 Doses (or disease history)","States","Indiana","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"85","Varicella","2 Doses (or disease history)","States","Iowa","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"86","Varicella","2 Doses (or disease history)","States","Kansas","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"87","Varicella","2 Doses (or disease history)","States","Kentucky","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"88","Varicella","2 Doses (or disease history)","States","Louisiana","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"89","Varicella","2 Doses (or disease history)","States","Maine","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"90","Varicella","2 Doses (or disease history)","States","Maryland","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"91","Varicella","2 Doses (or disease history)","States","Massachusetts","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"92","Varicella","2 Doses (or disease history)","States","Michigan","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"93","Varicella","2 Doses (or disease history)","States","Minnesota","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"94","Varicella","2 Doses (or disease history)","States","Mississippi","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"95","Varicella","2 Doses (or disease history)","States","Missouri","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"96","Varicella","2 Doses (or disease history)","States","Montana","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"97","Varicella","2 Doses (or disease history)","States","Nebraska","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"98","Varicella","1 Dose (or disease history)","States","Washington","2025-26","NReq","75631","99.1","NULL","NULL","Census"
"99","Varicella","1 Dose (or disease history)","States","Virginia","2025-26","NReq","88950","95.7","NULL","NULL","Census"
"100","Varicella","1 Dose (or disease history)","States","Vermont","2025-26","NReq","5298","100","NULL","NULL","Census"
"101","Varicella","1 Dose (or disease history)","States","Utah","2025-26","NReq","44001","100","NULL","NULL","Census"
"102","Varicella","1 Dose (or disease history)","States","Alabama","2025-26","97.6","53378","100","NULL","NULL","Census"
"103","Varicella","1 Dose (or disease history)","States","California","2025-26","NReq","614405","100","NULL","NULL","Census"
"104","Varicella","1 Dose (or disease history)","States","Arkansas","2025-26","NReq","35543","96.7","NULL","NULL","Census (pub.), vol. response (prv.)"
"105","Varicella","1 Dose (or disease history)","States","Alaska","2025-26","NReq","8253","60.9","NULL","NULL","Vol. response (public), not conducted (private)"
"106","Varicella","1 Dose (or disease history)","States","Connecticut","2025-26","NReq","33118","100","NULL","NULL","Census"
"107","Varicella","1 Dose (or disease history)","States","New York","2025-26","NReq","203514","95.8","NULL","NULL","Census (pub.), vol. response (prv.)"
"108","Varicella","1 Dose (or disease history)","States","New Mexico","2025-26","NReq","19843","100","NULL","NULL","Census"
"109","Varicella","1 Dose (or disease history)","States","Ohio","2025-26","NReq","129087","95.9","NULL","NULL","Census (pub.), vol. response (prv.)"
"110","Varicella","1 Dose (or disease history)","States","New Hampshire","2025-26","NReq","11544","100","NULL","NULL","Census"
"111","Varicella","1 Dose (or disease history)","States","Nevada","2025-26","NReq","32815","93.6","NULL","NULL","Census (pub.), vol. response (prv.)"
"112","Varicella","2 Doses (or disease history)","States","South Dakota","2011-12","95.5","12127","100","*","NULL","Census"
"113","Varicella","1 Dose (or disease history)","States","Missouri","2025-26","NReq","66610","100","NULL","NULL","Census"
"114","Varicella","1 Dose (or disease history)","States","Mississippi","2025-26","NReq","34969","100","NULL","NULL","Census"
"115","Varicella","1 Dose (or disease history)","States","Louisiana","2025-26","NReq","50223","100","NULL","NULL","Census"
"116","Varicella","1 Dose (or disease history)","States","Minnesota","2025-26","NReq","63451","99.9","NULL","NULL","Census"
"117","Varicella","1 Dose (or disease history)","States","Maine","2025-26","NReq","11634","94.4","NULL","NULL","Census"
"118","Varicella","1 Dose (or disease history)","States","South Carolina","2025-26","NReq","57542","26.2","NULL","NULL","Stratified 1-stage cluster sample"
"119","Varicella","2 Doses (or disease history)","States","Maryland","2011-12","NReq","72957","67.2","NULL","NULL","Voluntary Response"
"120","Varicella","2 Doses (or disease history)","States","Utah","2011-12","NReq","53800","100","*","NULL","Census"
"121","Varicella","2 Doses (or disease history)","States","Maine","2011-12","NReq","13829","97","NULL","NULL","Census"
"122","Varicella","2 Doses (or disease history)","States","Kentucky","2011-12","NReq","58185","91.8","NULL","NULL","Census"
"123","Varicella","2 Doses (or disease history)","States","Montana","2011-12","NReq","12128","100","*","NULL","Census"
"124","Varicella","2 Doses (or disease history)","States","New Hampshire","2011-12",NA,"13022","100","*","NULL","Census"
"125","Varicella","2 Doses (or disease history)","States","Wyoming","2011-12",NA,"NULL","NULL","NULL","NULL","Not conducted"
"126","Varicella","2 Doses (or disease history)","States","New Jersey","2011-12","NReq","118669","96.6","NULL","NULL","Census"
"127","Varicella","2 Doses (or disease history)","States","Alaska","2011-12",NA,"10286","7.3","NULL","NULL","Non-random Cluster Sample"
"128","Varicella","2 Doses (or disease history)","States","South Dakota","2009-10","97.7","11499","100","*","NULL","Census"
"129","Varicella","2 Doses (or disease history)","States","Georgia","2009-10","99.6","141949","1.2","NULL","NULL","Random sample"
"130","Varicella","2 Doses (or disease history)","States","Mississippi","2009-10","99.7","46922","100","≥. *","NULL","Census"
"131","Varicella","2 Doses (or disease history)","States","Kentucky","2009-10","NReq","56526","92.9","NULL","NULL","Census"
"132","Varicella","2 Doses (or disease history)","States","Indiana","2009-10","NReq","84390","94.7","NULL","NULL","Census"
"133","Varicella","2 Doses (or disease history)","States","Illinois","2009-10","NReq","165845","100","NULL","NULL","Census"
"134","Varicella","2 Doses (or disease history)","States","Idaho","2009-10","NReq","22624","100","*","NULL","Census"
"135","Varicella","2 Doses (or disease history)","States","Maine","2009-10","NReq","14162","75.3","NULL","NULL","Voluntary response"
"136","Varicella","2 Doses (or disease history)","States","California","2009-10","NReq","507191","100","*","NULL","Census"
"137","Varicella","2 Doses (or disease history)","States","Colorado","2009-10",NA,"NULL","NULL","NULL","NULL","Not conducted"
"138","Varicella","2 Doses (or disease history)","States","Maryland","2009-10","NReq","75061","75","NULL","NULL","Voluntary response"
"139","Varicella","2 Doses (or disease history)","States","Massachusetts","2009-10","NReq","74476","100","*","NULL","Census"
"140","Varicella","2 Doses (or disease history)","States","Michigan","2009-10","NReq","129810","100","*","NULL","Census"
"141","Varicella","2 Doses (or disease history)","States","Connecticut","2009-10","NReq","46158","100","*","NULL","Census"
"142","Varicella","2 Doses (or disease history)","States","Hawaii","2009-10","NReq","18427","6.4","NULL","NULL","Random sample"
"143","Varicella","2 Doses (or disease history)","States","Missouri","2009-10","NReq","75958","3","NULL","NULL","Random sample"
"144","Varicella","2 Doses (or disease history)","States","District of Columbia","2009-10",NA,"6092","100","*","NULL","Census"
"145","Varicella","2 Doses (or disease history)","States","Montana","2009-10","NReq","12335","98.8","NULL","NULL","Census"
"146","Varicella","2 Doses (or disease history)","States","Nebraska","2009-10","NReq","29607","96.4","NULL","NULL","Census"
"147","Varicella","2 Doses (or disease history)","States","Nevada","2009-10","NReq","35209","5.6","NULL","NULL","Random sample"
"148","Varicella","2 Doses (or disease history)","States","New Hampshire","2009-10",NA,"NULL","NULL","NULL","NULL","Not conducted"
"149","Varicella","2 Doses (or disease history)","States","New Jersey","2009-10","NReq","118347","95.1","NULL","NULL","Census"
"150","Varicella","2 Doses (or disease history)","States","New York","2009-10","NReq","229273","100","*","NULL","Census"
"151","Varicella","2 Doses (or disease history)","States","North Carolina","2009-10","NReq","116087","96","NULL","NULL","Census"
"152","Varicella","2 Doses (or disease history)","States","Ohio","2009-10","NReq","131137","100","*","NULL","Census"
"153","Varicella","2 Doses (or disease history)","States","Oklahoma","2009-10","NReq","51128","88.9","NULL","NULL","Voluntary response"
"154","Varicella","2 Doses (or disease history)","States","Utah","2012-13","NReq","54605","100","*","NULL","Census"
"155","Varicella","2 Doses (or disease history)","States","South Carolina","2012-13","NReq","61799","17.9","NULL","NULL","1-Stage Cluster Sample"
"156","Varicella","2 Doses (or disease history)","States","Oregon","2012-13","NReq","47102","100","*. ‡","NULL","Census"
"157","Varicella","2 Doses (or disease history)","States","Illinois","2012-13","NReq","166884","100","*","NULL","Census"
"158","Varicella","2 Doses (or disease history)","States","South Carolina","2009-10","NReq","53725","10.2","NULL","NULL","Random sample"
"159","Varicella","2 Doses (or disease history)","States","Tennessee","2009-10","NReq","90811","88.1","NULL","NULL","Voluntary response"
"160","Varicella","2 Doses (or disease history)","States","Utah","2009-10","NReq","49957","100","*","NULL","Census"
"161","Varicella","2 Doses (or disease history)","States","Virginia","2009-10","NReq","100891","4.4","NULL","NULL","Random sample"
"162","Varicella","2 Doses (or disease history)","States","Wyoming","2009-10",NA,"NULL","NULL","NULL","NULL","Not conducted"
"163","Varicella","2 Doses (or disease history)","States","Alaska","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"164","Varicella","2 Doses (or disease history)","States","Arizona","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"165","Varicella","2 Doses (or disease history)","States","Arkansas","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"166","Varicella","2 Doses (or disease history)","States","Washington","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"167","Varicella","2 Doses (or disease history)","States","Virginia","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"168","Varicella","2 Doses (or disease history)","States","Vermont","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"169","Varicella","2 Doses (or disease history)","States","Utah","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"170","Varicella","2 Doses (or disease history)","States","Texas","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"171","Varicella","2 Doses (or disease history)","States","Tennessee","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"172","Varicella","2 Doses (or disease history)","States","South Dakota","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"173","Varicella","2 Doses (or disease history)","States","South Carolina","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"174","Varicella","2 Doses (or disease history)","States","Rhode Island","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"175","Varicella","2 Doses (or disease history)","States","Pennsylvania","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"176","Varicella","2 Doses (or disease history)","States","Oregon","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"177","Varicella","2 Doses (or disease history)","States","Oklahoma","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"178","Varicella","2 Doses (or disease history)","States","Ohio","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"179","Varicella","2 Doses (or disease history)","States","North Dakota","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"180","Varicella","2 Doses (or disease history)","States","North Carolina","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"181","Varicella","2 Doses (or disease history)","States","New York","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"182","Varicella","2 Doses (or disease history)","States","New Mexico","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"183","Varicella","2 Doses (or disease history)","States","New Jersey","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"184","Varicella","2 Doses (or disease history)","States","New Hampshire","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"185","Varicella","2 Doses (or disease history)","States","Alabama","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"186","Varicella","2 Doses (or disease history)","States","Wisconsin","2011-12","91","70672","2.3","NULL","NULL","2-stage Cluster Sample"
"187","Varicella","2 Doses (or disease history)","States","Iowa","2011-12","91.1","40978","100","≥. *","NULL","Census"
"188","Varicella","2 Doses (or disease history)","States","Rhode Island","2011-12","91.3","12552","13.9","NULL","NULL","2-stage Cluster Sample"
"189","Varicella","2 Doses (or disease history)","States","Indiana","2011-12","91.9","83416","67.5","NULL","NULL","Voluntary Response"
"190","Varicella","2 Doses (or disease history)","States","Florida","2011-12","92.6","225532","100","≥. * .§","NULL","Census"
"191","Varicella","2 Doses (or disease history)","States","Massachusetts","2011-12","92.7","79551","97.5","NULL","NULL","Census"
"192","Varicella","2 Doses (or disease history)","States","Michigan","2011-12","93.2","124962","100","*","NULL","Census"
"193","Varicella","2 Doses (or disease history)","States","New Mexico","2011-12","94.2","29159","2","NULL","NULL","2-stage Cluster Sample"
"194","Varicella","2 Doses (or disease history)","States","Minnesota","2011-12","94.9","71213","99.2","NULL","NULL","Census"
"195","Varicella","2 Doses (or disease history)","States","Missouri","2011-12","95.1","75240","4.7","NULL","NULL","2-stage Cluster Sample"
"196","Varicella","2 Doses (or disease history)","States","Arkansas","2011-12","95.4","38754","92.2","NULL","NULL","Census"
"197","Varicella","2 Doses (or disease history)","States","Ohio","2011-12","95.4","146144","94.5","NULL","NULL","Convenient"
"198","Varicella","2 Doses (or disease history)","States","South Carolina","2013-14","NReq","61661","11","NULL","NULL","1-stage stratified sample"
"199","Varicella","2 Doses (or disease history)","States","Alabama","2011-12","NReq","73190","100","* .**","NULL","Census"
"200","Varicella","2 Doses (or disease history)","States","Arizona","2011-12","NReq","88293","96.9","NULL","NULL","Census"
"201","Varicella","2 Doses (or disease history)","States","New York","2011-12","NReq","236016","100","*","NULL","Census"
"202","Varicella","2 Doses (or disease history)","States","North Carolina","2011-12","NReq","128854","95.4","NULL","NULL","Census"
"203","Varicella","2 Doses (or disease history)","States","Georgia","2011-12","96.6","143065","1.9","NULL","NULL","2-stage Cluster Sample"
"204","Varicella","2 Doses (or disease history)","States","Nebraska","2011-12","96.8","26715","96.6","NULL","NULL","Census"
"205","Varicella","2 Doses (or disease history)","States","Delaware","2011-12","96.9","11327","7.4","≥","NULL","2-stage Cluster Sample"
"206","Varicella","2 Doses (or disease history)","States","Connecticut","2011-12","97.1","45695","100","*","NULL","Census"
"207","Varicella","2 Doses (or disease history)","States","Louisiana","2011-12","97.2","69013","100","*","NULL","Census"
"208","Varicella","2 Doses (or disease history)","States","Tennessee","2011-12","97.3","83950","99.9","≥","NULL","Census"
"209","Varicella","2 Doses (or disease history)","States","Mississippi","2011-12","99.2","44912","100","≥. *","NULL","Census"
"210","Varicella","2 Doses (or disease history)","States","Texas","2011-12","99.2","388178","100","*","NULL","Census"
"211","Varicella","2 Doses (or disease history)","States","South Carolina","2011-12","NReq","59307","10.7","NULL","NULL","1-stage Cluster Sample"
"212","Varicella","2 Doses (or disease history)","States","Vermont","2011-12","90.3","6548","100","*","NULL","Census"
"213","Varicella","2 Doses (or disease history)","States","Nevada","2011-12","90.3","36557","5.2","NULL","NULL","2-stage Cluster Sample"
"214","Varicella","2 Doses (or disease history)","States","Washington","2011-12","90.4","85134","89.1","NULL","NULL","Voluntary Response"
"215","Varicella","2 Doses (or disease history)","States","Virginia","2011-12","90.6","101121","4.3","NULL","NULL","2-stage Cluster Sample"
"216","Varicella","2 Doses (or disease history)","States","Florida","2012-13","92.1","234628","100","≥. *. §","NULL","Census"
"217","Varicella","2 Doses (or disease history)","States","Nevada","2012-13","92.2","36070","4.3","NULL","NULL","2-stage Cluster Sample"
"218","Varicella","2 Doses (or disease history)","States","Michigan","2012-13","92.9","124662","100","*","NULL","Census"
"219","Varicella","2 Doses (or disease history)","States","Massachusetts","2012-13","93.6","79661","97.6","‡","NULL","Census"
"220","Varicella","2 Doses (or disease history)","States","Indiana","2012-13","93.9","86983","83.4","NULL","NULL","Voluntary Response"
"221","Varicella","2 Doses (or disease history)","States","New Mexico","2012-13","94","29279","3.3","‡","NULL","2-stage Cluster Sample"
"222","Varicella","2 Doses (or disease history)","States","Rhode Island","2012-13","94.2","12552","75.2","‡","NULL","Voluntary Response"
"223","Varicella","2 Doses (or disease history)","States","Tennessee","2012-13","94.5","85801","97","≥","NULL","Census"
"224","Varicella","2 Doses (or disease history)","States","Nebraska","2012-13","94.7","24999","96.6","‡","NULL","Census"
"225","Varicella","2 Doses (or disease history)","States","Georgia","2012-13","95.1","142732","2.4","≥","NULL","2-stage Cluster Sample"
"226","Varicella","2 Doses (or disease history)","States","Ohio","2012-13","95.7","163687","86.9","NULL","NULL","Census"
"227","Varicella","2 Doses (or disease history)","States","Delaware","2012-13","95.7","11997","7.8","≥","NULL","2-stage Cluster Sample"
"228","Varicella","2 Doses (or disease history)","States","Minnesota","2012-13","95.9","73310","100","*. ‡","NULL","Census"
"229","Varicella","2 Doses (or disease history)","States","South Dakota","2012-13","96","12468","100","*","NULL","Census"
"230","Varicella","2 Doses (or disease history)","States","Missouri","2012-13","96.1","78416","5.9","NULL","NULL","2-stage Cluster Sample"
"231","Varicella","2 Doses (or disease history)","States","West Virginia","2012-13","96.2","22588","86.5","NULL","NULL","Voluntary Response"
"232","Varicella","2 Doses (or disease history)","States","Louisiana","2012-13","96.5","68874","100","*","NULL","Census"
"233","Varicella","2 Doses (or disease history)","States","Connecticut","2012-13","96.8","41604","100","*","NULL","Census"
"234","Varicella","2 Doses (or disease history)","States","Wyoming","2012-13","97","8133","100","* .¶","NULL","Census"
"235","Varicella","2 Doses (or disease history)","States","Texas","2012-13","97.2","414688","96.6","‡","NULL","Census"
"236","Varicella","2 Doses (or disease history)","States","Mississippi","2012-13","99.9","46595","100","≥. *","NULL","Census"
"237","Varicella","2 Doses (or disease history)","States","Maryland","2012-13","NReq","75007","84.3","‡","NULL","Voluntary Response"
"238","Varicella","2 Doses (or disease history)","States","Maine","2012-13","NReq","14313","94.6","‡","NULL","Census"
"239","Varicella","2 Doses (or disease history)","States","Kentucky","2012-13","89.5","58466","97.2","‡","NULL","Census"
"240","Varicella","2 Doses (or disease history)","States","Vermont","2012-13","90.1","6792","100","*","NULL","Census"
"241","Varicella","2 Doses (or disease history)","States","Washington","2012-13","90.3","87773","94.7","NULL","NULL","Census"
"242","Varicella","2 Doses (or disease history)","States","Iowa","2012-13","90.5","41701","99.9","≥","NULL","Census"
"243","Varicella","2 Doses (or disease history)","States","Oklahoma","2012-13","NReq","56943","95.5","NULL","NULL","Census"
