"","state_fips_code","state_name","population_0_4_years"
"1","01","Alabama",294417
"2","02","Alaska",47825
"3","04","Arizona",399499
"4","05","Arkansas",182438
"5","06","California",2214141
"6","08","Colorado",315470
"7","09","Connecticut",181240
"8","10","Delaware",54545
"9","11","District of Columbia",40916
"10","12","Florida",1114328
"11","13","Georgia",639111
"12","15","Hawaii",82021
"13","16","Idaho",113266
"14","17","Illinois",708630
"15","18","Indiana",411823
"16","19","Iowa",188580
"17","20","Kansas",179460
"18","21","Kentucky",267363
"19","22","Louisiana",289071
"20","23","Maine",62915
"21","24","Maryland",359340
"22","25","Massachusetts",350335
"23","26","Michigan",549541
"24","27","Minnesota",339105
"25","28","Mississippi",177145
"26","29","Missouri",359915
"27","30","Montana",58832
"28","31","Nebraska",127005
"29","32","Nevada",176957
"30","33","New Hampshire",63205
"31","34","New Jersey",526400
"32","35","New Mexico",112949
"33","36","New York",1102961
"34","37","North Carolina",598313
"35","38","North Dakota",51372
"36","39","Ohio",675616
"37","40","Oklahoma",247646
"38","41","Oregon",212485
"39","42","Pennsylvania",685379
"40","44","Rhode Island",53813
"41","45","South Carolina",287868
"42","46","South Dakota",58121
"43","47","Tennessee",409675
"44","48","Texas",1928242
"45","49","Utah",238146
"46","50","Vermont",28053
"47","51","Virginia",495281
"48","53","Washington",437433
"49","54","West Virginia",89308
"50","55","Wisconsin",320451
"51","56","Wyoming",31948
"52","72","Puerto Rico",107055
"53","1","United States",18939899
